rewards,steps,epsilon,time
-740.0,200,0.9950043114103068,0.001873
-686.0,200,0.9900335797250988,0.001763
-695.0,200,0.985087680267453,0.001743
-902.0,200,0.9801664889832935,0.001661
-731.0,200,0.97526988243828,0.001644
-785.0,200,0.9703977378147116,0.001683
-722.0,200,0.9655499329084465,0.00169
-794.0,200,0.9607263461258367,0.001671
-794.0,200,0.9559268564806782,0.00168
-722.0,200,0.9511513435911764,0.001702
-821.0,200,0.9463996876769265,0.001653
-686.0,200,0.9416717695559096,0.001638
-821.0,200,0.9369674706415029,0.001673
-695.0,200,0.9322866729395054,0.001644
-848.0,200,0.9276292590451785,0.001741
-821.0,200,0.9229951121403008,0.001702
-722.0,200,0.918384115990239,0.001641
-749.0,200,0.913796154941031,0.001681
-758.0,200,0.9092311139164865,0.001691
-731.0,200,0.9046888784152998,0.001682
-749.0,200,0.900169334508178,0.001661
-722.0,200,0.8956723688349838,0.001729
-713.0,200,0.8911978686018913,0.001645
-785.0,200,0.8867457215785579,0.001707
-695.0,200,0.8823158160953086,0.001677
-776.0,200,0.8779080410403354,0.001673
-686.0,200,0.8735222858569103,0.001667
-731.0,200,0.8691584405406122,0.001666
-722.0,200,0.8648163956365679,0.001689
-803.0,200,0.8604960422367066,0.00168
-767.0,200,0.8561972719770286,0.001663
-758.0,200,0.8519199770348864,0.001652
-713.0,200,0.8476640501262815,0.001639
-740.0,200,0.8434293845031725,0.001657
-722.0,200,0.839215873950798,0.001674
-776.0,200,0.8350234127850126,0.001668
-713.0,200,0.8308518958496358,0.001644
-695.0,200,0.8267012185138148,0.00168
-740.0,200,0.8225712766693999,0.001681
-776.0,200,0.8184619667283332,0.001717
-641.0,200,0.8143731856200506,0.001685
-722.0,200,0.8103048307888964,0.001674
-740.0,200,0.806256800191551,0.001638
-731.0,200,0.8022289922944715,0.00164
-677.0,200,0.7982213060713449,0.001642
-713.0,200,0.7942336410005543,0.001675
-641.0,200,0.7902658970626573,0.001645
-731.0,200,0.7863179747378777,0.001673
-623.0,200,0.782389775003609,0.001644
-677.0,200,0.7784811993319307,0.001627
