rewards,steps,epsilon,time
-848.0,200,0.998,0.001487
-749.0,200,0.996004,1.411998
-803.0,200,0.994011992,0.315948
-740.0,200,0.992023968016,0.297606
-722.0,200,0.990039920079968,0.279181
-749.0,200,0.9880598402398081,0.280277
-776.0,200,0.9860837205593285,0.28781
-776.0,200,0.9841115531182099,0.282214
-731.0,200,0.9821433300119734,0.286303
-713.0,200,0.9801790433519495,0.278314
-902.0,200,0.9782186852652456,0.292464
-740.0,200,0.976262247894715,0.286981
-794.0,200,0.9743097233989256,0.291762
-866.0,200,0.9723611039521278,0.292119
-830.0,200,0.9704163817442236,0.289078
-704.0,200,0.9684755489807352,0.287803
-767.0,200,0.9665385978827737,0.288803
-731.0,200,0.9646055206870082,0.296556
-722.0,200,0.9626763096456342,0.299354
-875.0,200,0.9607509570263429,0.297384
-749.0,200,0.9588294551122902,0.282056
-731.0,200,0.9569117962020657,0.292104
-830.0,200,0.9549979726096616,0.29579
-749.0,200,0.9530879766644422,0.30092
-745.0,199,0.9511818007111134,0.299999
-785.0,200,0.9492794371096911,0.297875
-794.0,200,0.9473808782354717,0.305041
-785.0,200,0.9454861164790007,0.300051
-731.0,200,0.9435951442460427,0.308498
-785.0,200,0.9417079539575507,0.311116
-713.0,200,0.9398245380496356,0.30841
-677.0,200,0.9379448889735363,0.302879
-857.0,200,0.9360689991955893,0.320201
-695.0,200,0.9341968611971981,0.307842
-722.0,200,0.9323284674748037,0.322987
-884.0,200,0.930463810539854,0.323975
-731.0,200,0.9286028829187744,0.305699
-758.0,200,0.9267456771529368,0.305445
-803.0,200,0.9248921857986309,0.31759
-695.0,200,0.9230424014270336,0.303758
-740.0,200,0.9211963166241796,0.316159
-758.0,200,0.9193539239909312,0.331962
-821.0,200,0.9175152161429493,0.305549
-650.0,200,0.9156801857106633,0.304474
-713.0,200,0.913848825339242,0.330102
-731.0,200,0.9120211276885636,0.319661
-785.0,200,0.9101970854331864,0.324457
-686.0,200,0.9083766912623201,0.310899
-78.0,27,0.9065599378797955,0.04911
-830.0,200,0.9047468180040359,0.322843
-785.0,200,0.9029373243680279,0.320592
-749.0,200,0.9011314497192918,0.335435
-776.0,200,0.8993291868198532,0.333535
-641.0,200,0.8975305284462135,0.340695
-677.0,200,0.8957354673893211,0.31479
-785.0,200,0.8939439964545425,0.304353
-199.0,67,0.8921561084616334,0.110789
-713.0,200,0.8903717962447101,0.329001
-830.0,200,0.8885910526522206,0.31982
-722.0,200,0.8868138705469162,0.338339
-713.0,200,0.8850402428058224,0.328654
-758.0,200,0.8832701623202107,0.339032
-803.0,200,0.8815036219955703,0.320272
-632.0,200,0.8797406147515792,0.336378
-623.0,200,0.877981133522076,0.324997
-731.0,200,0.8762251712550319,0.345894
-677.0,200,0.8744727209125218,0.332306
-731.0,200,0.8727237754706968,0.330809
-668.0,200,0.8709783279197554,0.337903
-749.0,200,0.8692363712639158,0.331121
-650.0,200,0.867497898521388,0.338466
-776.0,200,0.8657629027243453,0.333596
-535.0,178,0.8640313769188966,0.297095
-488.0,200,0.8623033141650589,0.351074
-437.0,152,0.8605787075367288,0.276221
-713.0,200,0.8588575501216553,0.335534
-758.0,200,0.857139835021412,0.333411
-731.0,200,0.8554255553513692,0.338136
-677.0,200,0.8537147042406664,0.338698
-668.0,200,0.8520072748321851,0.330674
-731.0,200,0.8503032602825207,0.324622
-740.0,200,0.8486026537619556,0.35957
-812.0,200,0.8469054484544317,0.342255
-215.0,65,0.8452116375575228,0.119057
-587.0,200,0.8435212142824078,0.339755
-254.0,86,0.841834171853843,0.152263
-650.0,200,0.8401505035101353,0.356004
-677.0,200,0.838470202503115,0.321556
-713.0,200,0.8367932620981088,0.350042
-614.0,200,0.8351196755739125,0.347592
-668.0,200,0.8334494362227647,0.341485
-466.0,145,0.8317825373503192,0.246562
-659.0,200,0.8301189722756185,0.363065
-513.0,174,0.8284587343310672,0.298173
-273.0,87,0.8268018168624051,0.153952
-569.0,200,0.8251482132286803,0.357295
-722.0,200,0.823497916802223,0.369186
-686.0,200,0.8218509209686186,0.346728
-731.0,200,0.8202072191266814,0.357599
-695.0,200,0.818566804688428,0.360957
-227.0,68,0.8169296710790511,0.120691
-386.0,119,0.815295811736893,0.213586
-668.0,200,0.8136652201134192,0.364117
