rewards,steps,epsilon,time
-200.0,200,0.0,12.585653
10.0,11,0.0,7.4e-05
-200.0,200,0.0,0.00101
-200.0,200,0.0,0.001015
-200.0,200,0.0,0.00102
-200.0,200,0.0,0.001045
-200.0,200,0.0,0.001029
11.0,10,0.0,6.1e-05
-200.0,200,0.0,0.001033
-200.0,200,0.0,0.001008
-200.0,200,0.0,0.001036
-200.0,200,0.0,0.001022
12.0,9,0.0,5.4e-05
-200.0,200,0.0,0.001014
-200.0,200,0.0,0.001045
-200.0,200,0.0,0.001015
-200.0,200,0.0,0.001024
-200.0,200,0.0,0.001023
-200.0,200,0.0,0.001029
-200.0,200,0.0,0.001027
-200.0,200,0.0,0.001008
-200.0,200,0.0,0.001022
-200.0,200,0.0,0.001033
-200.0,200,0.0,0.001038
-200.0,200,0.0,0.001041
-200.0,200,0.0,0.001026
-200.0,200,0.0,0.001024
-200.0,200,0.0,0.001009
-200.0,200,0.0,0.001018
-200.0,200,0.0,0.001006
-200.0,200,0.0,0.001037
-200.0,200,0.0,0.001036
-200.0,200,0.0,0.001032
-200.0,200,0.0,0.001009
-200.0,200,0.0,0.001022
-200.0,200,0.0,0.001034
-200.0,200,0.0,0.001009
5.0,16,0.0,8.9e-05
-200.0,200,0.0,0.001026
10.0,11,0.0,6.3e-05
-200.0,200,0.0,0.001016
-200.0,200,0.0,0.001036
-200.0,200,0.0,0.001023
-200.0,200,0.0,0.001033
-200.0,200,0.0,0.001018
-200.0,200,0.0,0.001039
-200.0,200,0.0,0.001003
-200.0,200,0.0,0.001025
-200.0,200,0.0,0.000997
-200.0,200,0.0,0.001038
-200.0,200,0.0,0.000998
-200.0,200,0.0,0.001005
-200.0,200,0.0,0.001021
-200.0,200,0.0,0.00103
-200.0,200,0.0,0.001004
-200.0,200,0.0,0.001023
-200.0,200,0.0,0.001017
-200.0,200,0.0,0.001017
-200.0,200,0.0,0.001027
-200.0,200,0.0,0.001005
-200.0,200,0.0,0.001013
4.0,17,0.0,9.4e-05
-200.0,200,0.0,0.00101
-200.0,200,0.0,0.000998
-200.0,200,0.0,0.001027
10.0,11,0.0,6.3e-05
-200.0,200,0.0,0.001007
-200.0,200,0.0,0.001034
-200.0,200,0.0,0.001008
-200.0,200,0.0,0.001025
-200.0,200,0.0,0.001014
-200.0,200,0.0,0.001014
-200.0,200,0.0,0.001002
-200.0,200,0.0,0.00102
6.0,15,0.0,8.7e-05
-200.0,200,0.0,0.001013
-200.0,200,0.0,0.001019
-200.0,200,0.0,0.001006
-200.0,200,0.0,0.00101
-200.0,200,0.0,0.001009
-200.0,200,0.0,0.001013
-200.0,200,0.0,0.00102
-200.0,200,0.0,0.001011
-200.0,200,0.0,0.001005
-200.0,200,0.0,0.001002
-200.0,200,0.0,0.001017
10.0,11,0.0,6.6e-05
-200.0,200,0.0,0.001015
10.0,11,0.0,6.2e-05
-200.0,200,0.0,0.000995
-200.0,200,0.0,0.001017
-200.0,200,0.0,0.001022
-200.0,200,0.0,0.001005
-200.0,200,0.0,0.001005
7.0,14,0.0,7.8e-05
-200.0,200,0.0,0.00102
-200.0,200,0.0,0.001019
-200.0,200,0.0,0.001011
-200.0,200,0.0,0.000997
-200.0,200,0.0,0.000994
-200.0,200,0.0,0.001002
-200.0,200,0.0,0.001015
-200.0,200,0.0,0.001021
-200.0,200,0.0,0.001034
-200.0,200,0.0,0.001027
-200.0,200,0.0,0.001034
-200.0,200,0.0,0.001028
10.0,11,0.0,6.4e-05
-200.0,200,0.0,0.00104
-200.0,200,0.0,0.001035
-200.0,200,0.0,0.001012
-200.0,200,0.0,0.001027
-200.0,200,0.0,0.001029
4.0,17,0.0,9.4e-05
-200.0,200,0.0,0.001054
13.0,8,0.0,4.8e-05
-200.0,200,0.0,0.001027
-200.0,200,0.0,0.001029
-200.0,200,0.0,0.001012
-200.0,200,0.0,0.001018
-200.0,200,0.0,0.001025
-200.0,200,0.0,0.001026
-200.0,200,0.0,0.001012
-200.0,200,0.0,0.00103
-200.0,200,0.0,0.001037
-200.0,200,0.0,0.001035
-200.0,200,0.0,0.001026
-200.0,200,0.0,0.001028
-200.0,200,0.0,0.001021
-200.0,200,0.0,0.001024
-200.0,200,0.0,0.001005
-200.0,200,0.0,0.001028
-200.0,200,0.0,0.001018
-200.0,200,0.0,0.001009
-200.0,200,0.0,0.001018
-200.0,200,0.0,0.001031
-200.0,200,0.0,0.00102
-200.0,200,0.0,0.001028
-200.0,200,0.0,0.001009
12.0,9,0.0,5.3e-05
-200.0,200,0.0,0.001015
-200.0,200,0.0,0.001037
-200.0,200,0.0,0.001023
9.0,12,0.0,6.8e-05
14.0,7,0.0,4.2e-05
-200.0,200,0.0,0.001017
9.0,12,0.0,6.8e-05
-200.0,200,0.0,0.001023
-200.0,200,0.0,0.001012
-200.0,200,0.0,0.001019
-200.0,200,0.0,0.001018
-200.0,200,0.0,0.001037
-200.0,200,0.0,0.001023
-200.0,200,0.0,0.001005
-200.0,200,0.0,0.001
-200.0,200,0.0,0.001022
-200.0,200,0.0,0.001026
4.0,17,0.0,9.4e-05
-200.0,200,0.0,0.001002
-200.0,200,0.0,0.00102
-200.0,200,0.0,0.001015
-200.0,200,0.0,0.001034
-200.0,200,0.0,0.001033
-200.0,200,0.0,0.001012
-200.0,200,0.0,0.001008
8.0,13,0.0,7.3e-05
-200.0,200,0.0,0.001019
-200.0,200,0.0,0.001009
-200.0,200,0.0,0.001007
-200.0,200,0.0,0.001009
-200.0,200,0.0,0.001008
-200.0,200,0.0,0.001011
-200.0,200,0.0,0.001008
-200.0,200,0.0,0.001013
-200.0,200,0.0,0.001008
-200.0,200,0.0,0.001025
10.0,11,0.0,6.3e-05
-200.0,200,0.0,0.001011
-200.0,200,0.0,0.000994
-200.0,200,0.0,0.00102
-200.0,200,0.0,0.000995
-200.0,200,0.0,0.001011
-200.0,200,0.0,0.001008
-200.0,200,0.0,0.001011
-200.0,200,0.0,0.001021
-200.0,200,0.0,0.001011
6.0,15,0.0,8.5e-05
-200.0,200,0.0,0.001018
-200.0,200,0.0,0.001013
-200.0,200,0.0,0.001007
-200.0,200,0.0,0.000991
-200.0,200,0.0,0.001004
15.0,6,0.0,3.7e-05
-200.0,200,0.0,0.001019
-200.0,200,0.0,0.001006
-200.0,200,0.0,0.000997
-200.0,200,0.0,0.00099
-200.0,200,0.0,0.001013
-200.0,200,0.0,0.001002
-200.0,200,0.0,0.000995
9.0,12,0.0,7.6e-05
-200.0,200,0.0,0.000994
-200.0,200,0.0,0.001024
-200.0,200,0.0,0.00103
-200.0,200,0.0,0.001041
-200.0,200,0.0,0.001033
-200.0,200,0.0,0.001037
-200.0,200,0.0,0.001038
-200.0,200,0.0,0.001024
-200.0,200,0.0,0.001027
-200.0,200,0.0,0.001027
-200.0,200,0.0,0.001037
-200.0,200,0.0,0.001007
-200.0,200,0.0,0.001021
-200.0,200,0.0,0.001033
-200.0,200,0.0,0.00104
8.0,13,0.0,7.3e-05
-200.0,200,0.0,0.001025
-200.0,200,0.0,0.00102
11.0,10,0.0,5.9e-05
13.0,8,0.0,4.8e-05
-200.0,200,0.0,0.00104
-200.0,200,0.0,0.001008
-200.0,200,0.0,0.00104
-200.0,200,0.0,0.001029
-200.0,200,0.0,0.001023
8.0,13,0.0,7.5e-05
-200.0,200,0.0,0.001016
-200.0,200,0.0,0.001031
-200.0,200,0.0,0.001022
-200.0,200,0.0,0.00102
6.0,15,0.0,8.3e-05
-200.0,200,0.0,0.001022
-200.0,200,0.0,0.001022
-200.0,200,0.0,0.001018
-200.0,200,0.0,0.001006
-200.0,200,0.0,0.001048
-200.0,200,0.0,0.001026
-200.0,200,0.0,0.001006
-200.0,200,0.0,0.001024
6.0,15,0.0,8.3e-05
-200.0,200,0.0,0.001022
9.0,12,0.0,6.8e-05
11.0,10,0.0,5.8e-05
-200.0,200,0.0,0.001023
-200.0,200,0.0,0.001019
-200.0,200,0.0,0.001045
-200.0,200,0.0,0.001024
-200.0,200,0.0,0.001004
-200.0,200,0.0,0.001016
-200.0,200,0.0,0.000999
-200.0,200,0.0,0.001012
-200.0,200,0.0,0.001027
-200.0,200,0.0,0.001003
-200.0,200,0.0,0.001052
-200.0,200,0.0,0.001018
-200.0,200,0.0,0.001013
5.0,16,0.0,8.8e-05
12.0,9,0.0,5.2e-05
-200.0,200,0.0,0.001031
-200.0,200,0.0,0.001002
-200.0,200,0.0,0.00102
-200.0,200,0.0,0.001014
-200.0,200,0.0,0.001003
-200.0,200,0.0,0.001013
-200.0,200,0.0,0.001033
