rewards,steps,epsilon,time
-830.0,200,1.0,0.001528
-848.0,200,1.0,0.001288
-794.0,200,1.0,0.001303
-776.0,200,1.0,0.001299
-704.0,200,1.0,0.001297
-812.0,200,1.0,0.001295
-767.0,200,1.0,0.001303
-740.0,200,1.0,0.001297
-884.0,200,1.0,0.001291
-767.0,200,1.0,0.001294
-740.0,200,1.0,0.001309
-499.0,151,1.0,0.000976
-758.0,200,1.0,0.001291
-650.0,200,1.0,0.001284
-740.0,200,1.0,0.00129
-794.0,200,1.0,0.00129
-848.0,200,1.0,0.001284
-821.0,200,1.0,0.001303
-686.0,200,1.0,0.0013
-731.0,200,1.0,0.001297
-830.0,200,1.0,0.001298
-758.0,200,1.0,0.001289
-803.0,200,1.0,0.001298
-749.0,200,1.0,0.001297
-731.0,200,1.0,0.001301
-812.0,200,1.0,0.001289
-731.0,200,1.0,0.001302
-785.0,200,1.0,0.001298
-740.0,200,1.0,0.001307
-803.0,200,1.0,0.001295
-848.0,200,1.0,0.001322
-812.0,200,1.0,0.001447
-722.0,200,1.0,0.001469
-803.0,200,1.0,0.001448
-749.0,200,1.0,0.001455
-839.0,200,1.0,0.001449
-767.0,200,1.0,0.001452
-704.0,200,1.0,0.001444
-749.0,200,1.0,0.001449
-794.0,200,1.0,0.00145
-767.0,200,1.0,0.001447
-758.0,200,1.0,0.001451
-749.0,200,1.0,0.001459
-767.0,200,1.0,0.001453
-722.0,200,1.0,0.001454
-884.0,200,1.0,0.001453
-51.0,36,1.0,0.000272
-875.0,200,1.0,0.001439
-776.0,200,1.0,0.001348
-776.0,200,1.0,0.001304
-920.0,200,1.0,0.001299
-731.0,200,1.0,0.001295
-767.0,200,1.0,0.001301
-839.0,200,1.0,0.0013
-767.0,200,1.0,0.001301
-776.0,200,1.0,0.001302
-686.0,200,1.0,0.001299
-758.0,200,1.0,0.0013
-902.0,200,1.0,0.001286
-731.0,200,1.0,0.001293
-821.0,200,1.0,0.001292
-758.0,200,1.0,0.0013
-749.0,200,1.0,0.001293
-740.0,200,1.0,0.001303
-857.0,200,1.0,0.001292
-722.0,200,1.0,0.001292
-929.0,200,1.0,0.001291
-767.0,200,1.0,0.001299
-363.0,114,1.0,0.000754
-866.0,200,1.0,0.001285
-857.0,200,1.0,0.001299
-731.0,200,1.0,0.001293
-830.0,200,1.0,0.00129
-767.0,200,1.0,0.001302
-830.0,200,1.0,0.001314
-731.0,200,1.0,0.001293
-749.0,200,1.0,0.001298
-713.0,200,1.0,0.001295
-884.0,200,1.0,0.001284
-893.0,200,1.0,0.001295
-875.0,200,1.0,0.001288
-839.0,200,1.0,0.001303
-785.0,200,1.0,0.001296
-893.0,200,1.0,0.001307
-749.0,200,1.0,0.001294
-839.0,200,1.0,0.001565
-812.0,200,1.0,0.001562
-731.0,200,1.0,0.001574
-740.0,200,1.0,0.001569
-866.0,200,1.0,0.001743
-839.0,200,1.0,0.001565
-677.0,200,1.0,0.001563
-821.0,200,1.0,0.001564
-839.0,200,1.0,0.001566
-884.0,200,1.0,0.001561
-658.0,175,1.0,0.001384
-848.0,200,1.0,0.00156
-812.0,200,1.0,0.00156
-296.0,92,1.0,0.000723
-785.0,200,1.0,0.001568
-758.0,200,1.0,0.001308
-812.0,200,1.0,0.001285
-758.0,200,1.0,0.001298
-713.0,200,1.0,0.001302
-686.0,200,1.0,0.001303
-803.0,200,1.0,0.001294
-839.0,200,1.0,0.001292
-776.0,200,1.0,0.00129
-731.0,200,1.0,0.001299
-812.0,200,1.0,0.001292
-938.0,200,1.0,0.00128
-821.0,200,1.0,0.00128
-731.0,200,1.0,0.00129
-767.0,200,1.0,0.001291
-776.0,200,1.0,0.00129
-830.0,200,1.0,0.001296
-794.0,200,1.0,0.001287
-794.0,200,1.0,0.001295
-659.0,200,1.0,0.001284
-785.0,200,1.0,0.0013
-893.0,200,1.0,0.001305
-704.0,200,1.0,0.001294
-749.0,200,1.0,0.001286
-857.0,200,1.0,0.00129
-776.0,200,1.0,0.001289
-776.0,200,1.0,0.001281
-722.0,200,1.0,0.001289
-749.0,200,1.0,0.001292
-609.0,180,1.0,0.001176
-785.0,200,1.0,0.001296
-920.0,200,1.0,0.001294
-857.0,200,1.0,0.001291
-965.0,200,1.0,0.001291
-830.0,200,1.0,0.001286
-848.0,200,1.0,0.001301
-785.0,200,1.0,0.001293
-767.0,200,1.0,0.00129
-938.0,200,1.0,0.001285
-758.0,200,1.0,0.001289
-839.0,200,1.0,0.001288
-740.0,200,1.0,0.001287
-749.0,200,1.0,0.001292
-767.0,200,1.0,0.001287
-713.0,200,1.0,0.00129
-704.0,200,1.0,0.001293
-902.0,200,1.0,0.001309
-785.0,200,1.0,0.001291
-668.0,200,1.0,0.001295
-776.0,200,1.0,0.00129
-767.0,200,1.0,0.00129
-749.0,200,1.0,0.001283
-731.0,200,1.0,0.001293
-794.0,200,1.0,0.001281
-839.0,200,1.0,0.001289
-686.0,200,1.0,0.001287
-857.0,200,1.0,0.001287
-785.0,200,1.0,0.001287
-740.0,200,1.0,0.001284
-767.0,200,1.0,0.001292
-713.0,200,1.0,0.001292
-803.0,200,1.0,0.001285
-749.0,200,1.0,0.001281
-812.0,200,1.0,0.001298
-211.0,61,1.0,0.000401
-839.0,200,1.0,0.00129
-794.0,200,1.0,0.001291
-893.0,200,1.0,0.001282
-749.0,200,1.0,0.001299
-695.0,200,1.0,0.001297
-839.0,200,1.0,0.001296
-767.0,200,1.0,0.001292
-704.0,200,1.0,0.001307
-857.0,200,1.0,0.001293
-875.0,200,1.0,0.001285
-767.0,200,1.0,0.001298
-866.0,200,1.0,0.001297
-767.0,200,1.0,0.001285
-758.0,200,1.0,0.001289
-713.0,200,1.0,0.001295
-848.0,200,1.0,0.001295
-866.0,200,1.0,0.00129
-695.0,200,1.0,0.001284
-767.0,200,1.0,0.001295
-713.0,200,1.0,0.001293
-794.0,200,1.0,0.001292
-740.0,200,1.0,0.00128
-947.0,200,1.0,0.001298
-740.0,200,1.0,0.001287
-830.0,200,1.0,0.001292
-767.0,200,1.0,0.001299
-668.0,200,1.0,0.001292
-812.0,200,1.0,0.001291
-776.0,200,1.0,0.001295
-650.0,200,1.0,0.00129
-803.0,200,1.0,0.001284
-597.0,141,1.0,0.000935
-812.0,200,1.0,0.001296
-839.0,200,1.0,0.00129
-857.0,200,1.0,0.001287
-866.0,200,1.0,0.001287
-821.0,200,1.0,0.001296
-857.0,200,1.0,0.001288
-695.0,200,1.0,0.001283
-740.0,200,1.0,0.001284
-812.0,200,1.0,0.001277
-758.0,200,1.0,0.001288
-875.0,200,1.0,0.001283
-461.0,140,1.0,0.00091
-731.0,200,1.0,0.001296
-812.0,200,1.0,0.001289
-785.0,200,1.0,0.001285
-731.0,200,1.0,0.001281
-749.0,200,1.0,0.001289
-695.0,200,1.0,0.001282
-401.0,116,1.0,0.000754
-812.0,200,1.0,0.001282
-202.0,61,1.0,0.000401
-740.0,200,1.0,0.001285
-632.0,200,1.0,0.001287
-722.0,200,1.0,0.001282
-920.0,200,1.0,0.001285
-740.0,200,1.0,0.001297
-767.0,200,1.0,0.001281
-606.0,168,1.0,0.001085
-785.0,200,1.0,0.001286
-857.0,200,1.0,0.001284
-767.0,200,1.0,0.001286
-192.0,51,1.0,0.000335
-794.0,200,1.0,0.001289
-641.0,200,1.0,0.001288
-776.0,200,1.0,0.001289
-992.0,200,1.0,0.001276
-749.0,200,1.0,0.001289
-875.0,200,1.0,0.001282
-740.0,200,1.0,0.001285
-749.0,200,1.0,0.001286
-875.0,200,1.0,0.001286
-803.0,200,1.0,0.001275
-884.0,200,1.0,0.001287
-920.0,200,1.0,0.001283
-821.0,200,1.0,0.001285
-731.0,200,1.0,0.001278
-740.0,200,1.0,0.001293
-857.0,200,1.0,0.001279
-785.0,200,1.0,0.001285
-650.0,200,1.0,0.001291
-839.0,200,1.0,0.0013
-830.0,200,1.0,0.001294
-839.0,200,1.0,0.00129
-812.0,200,1.0,0.001299
-911.0,200,1.0,0.001283
-731.0,200,1.0,0.001284
-749.0,200,1.0,0.001289
-758.0,200,1.0,0.001289
-731.0,200,1.0,0.001286
-857.0,200,1.0,0.001281
-758.0,200,1.0,0.001296
-447.0,126,1.0,0.000815
-659.0,200,1.0,0.001337
-785.0,200,1.0,0.001567
-785.0,200,1.0,0.001564
-803.0,200,1.0,0.001565
-794.0,200,1.0,0.001568
-731.0,200,1.0,0.00156
-722.0,200,1.0,0.001556
-713.0,200,1.0,0.001564
-776.0,200,1.0,0.00156
-839.0,200,1.0,0.00156
-767.0,200,1.0,0.001564
-767.0,200,1.0,0.001567
-776.0,200,1.0,0.001574
-794.0,200,1.0,0.001562
-704.0,200,1.0,0.001566
-794.0,200,1.0,0.001554
-812.0,200,1.0,0.001559
-821.0,200,1.0,0.001564
-785.0,200,1.0,0.001564
-767.0,200,1.0,0.001565
-695.0,200,1.0,0.001569
-758.0,200,1.0,0.001558
-758.0,200,1.0,0.001564
-722.0,200,1.0,0.00156
-830.0,200,1.0,0.001572
-726.0,189,1.0,0.001487
-722.0,200,1.0,0.00156
-776.0,200,1.0,0.001568
-830.0,200,1.0,0.001567
-758.0,200,1.0,0.001565
-866.0,200,1.0,0.001566
-866.0,200,1.0,0.001562
-749.0,200,1.0,0.001568
-749.0,200,1.0,0.001591
